"dimension1","medium","landingPagePath","exitPagePath","userType","sessionCount","daysSinceLastSession","sessions","pageviews","uniquePageviews","sessionDuration"
1009965203771,"organic","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1136063562843,"organic","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1209302812796,"organic","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1404638122608,"organic","/getting-started-with-mapreduce-using-eclipse-2/","/getting-started-with-mapreduce-using-eclipse-2/","New Visitor",1,0,1,1,1,0
1407313145240,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407338345044,"organic","/getting-started-with-mapreduce-using-eclipse-2/","/getting-started-with-mapreduce-using-eclipse-2/","Returning Visitor",2,1,1,1,1,0
1407355669166,"organic","/mongodb-aggregation-examples/","/mongodb-aggregation-examples/","New Visitor",1,0,1,1,1,0
1407361393270,"organic","/mongodb-schema-design/","/mongodb-schema-design/","New Visitor",1,0,1,1,1,0
1407378863360,"organic","/how-can-r-and-hadoop-be-used-together/","/how-can-r-and-hadoop-be-used-together/","New Visitor",1,0,1,1,1,0
1407380557688,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,2,1,75
1407390889340,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407395474958,"(none)","/predictive-analysis-in-ecommerce/","/category/machine-learning/","New Visitor",1,0,1,3,3,151
1407413749230,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407414896995,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,3,2,141
1407472914003,"organic","/logistic-regression-r-step-step-implementation-part-2/","/linear-regression-with-r-step-by-step-implementation-part-2/","New Visitor",1,0,1,2,2,129
1407472914003,"organic","/logistic-regression-r-step-step-implementation-part-2/","/logistic-regression-r-step-step-implementation-part-2/","Returning Visitor",2,0,1,1,1,0
1407477519969,"(none)","/","/mongodb-schema-design/","New Visitor",1,0,1,2,2,130
1407486023595,"referral","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407509725357,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407510082223,"(none)","/predictive-analysis-in-ecommerce/","/2014/05/","New Visitor",1,0,1,3,3,183
1407513219015,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407518981118,"organic","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407522632732,"organic","/logistic-regression-r-step-step-implementation-part-2/","/logistic-regression-r-step-step-implementation-part-2/","New Visitor",1,0,1,1,1,0
1407531685220,"organic","/mongodb-schema-design/","/mongodb-schema-design/","New Visitor",1,0,1,1,1,0
1407557140103,"(none)","/predictive-analysis-in-ecommerce/","/2014/04/","New Visitor",1,0,1,2,2,108
1407564875849,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407577729502,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407581603908,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407594665084,"(none)","/predictive-analysis-in-ecommerce/","/category/hadoop/","New Visitor",1,0,1,3,3,152
1407603441192,"organic","/logistic-regression-r-step-step-implementation-part-2/","/logistic-regression-r-step-step-implementation-part-2/","New Visitor",1,0,1,1,1,0
1407626941001,"organic","/trick-convert-mongo-shell-query-equivalent-java-objects/","/trick-convert-mongo-shell-query-equivalent-java-objects/","New Visitor",1,0,1,1,1,0
1407627426347,"(none)","/","/","Returning Visitor",23,4,1,1,1,0
1407627426347,"(none)","/","/","Returning Visitor",24,4,1,1,1,0
1407627426347,"(none)","/category/hadoop/","/identify-who-will-revist-your-website-in-next-few-days-using-predictive-anlaysis/","Returning Visitor",25,1,1,13,7,138
1407635789364,"(none)","/mongodb-basics-with-java/","/mongodb-basics-with-java/","New Visitor",1,0,1,1,1,0
1407660256350,"(none)","/predictive-analysis-in-ecommerce/","/category/hadoop/","New Visitor",1,0,1,2,2,79
1407672815867,"organic","/getting-started-with-mapreduce-using-eclipse-2/","/getting-started-with-mapreduce-using-eclipse-2/","New Visitor",1,0,1,1,1,0
1407681353701,"(none)","/predictive-analysis-in-ecommerce/","/","New Visitor",1,0,1,2,2,81
1407696758958,"organic","/mongodb-aggregation-examples/","/mongodb-aggregation-examples/","New Visitor",1,0,1,1,1,0
1407696920594,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407728281821,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407737307911,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407743323420,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407747726122,"organic","/logistic-regression-r-step-step-implementation-part-2/","/logistic-regression-r-step-step-implementation-part-2/","New Visitor",1,0,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",27,1,1,15,12,218
1407752080615,"referral","/","/","Returning Visitor",29,1,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",31,2,1,3,1,461
1407752080615,"referral","/","/","Returning Visitor",35,2,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",39,0,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",44,0,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",45,5,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",46,0,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",48,6,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",50,15,1,1,1,0
1407752080615,"referral","/","/","Returning Visitor",52,7,1,1,1,0
1407752080615,"referral","/","/2014/06/","Returning Visitor",28,6,1,5,5,68
1407752080615,"referral","/","/build-predictive-model-on-big-data-using-r-and-mysql-part-1/","Returning Visitor",40,3,1,2,2,100
1407752080615,"referral","/","/build-predictive-model-on-big-data-using-r-and-mysql-part-1/","Returning Visitor",47,6,1,4,3,20
1407752080615,"referral","/","/category/hadoop/","Returning Visitor",34,6,1,3,3,66
1407752080615,"referral","/","/category/mongodb/","Returning Visitor",38,2,1,5,4,93
1407752080615,"referral","/","/category/mongodb/","Returning Visitor",43,0,1,2,2,16
1407752080615,"referral","/","/contact-us/","Returning Visitor",42,1,1,2,2,28
1407752080615,"referral","/","/mongodb-aggregation-examples/","Returning Visitor",49,1,1,2,2,5
1407752080615,"referral","/","/mongodb-introduction-part-2/","Returning Visitor",30,1,1,3,3,18
1407752080615,"referral","/","/mongodb-introduction-part-2/","Returning Visitor",51,3,1,11,7,311
1407752080615,"referral","/","/mongodb-schema-design/","Returning Visitor",36,6,1,6,4,244
1407752080615,"referral","/","/predictive-analysis-in-ecommerce/","Returning Visitor",32,0,1,3,3,27
1407752080615,"referral","/","/understanding-data-analytics-project-life-cycle/","Returning Visitor",37,5,1,4,4,40
1407752080615,"referral","/author/kaushal/","/author/kaushal/","Returning Visitor",26,5,1,1,1,0
1407752080615,"referral","/build-predictive-model-on-big-data-using-r-and-mysql-part-1/","/page/2/","Returning Visitor",41,0,1,8,8,3331
1407752080615,"referral","/trick-convert-mongo-shell-query-equivalent-java-objects/","/mongodb-aggregation-framework/","Returning Visitor",33,0,1,2,2,24
1407753357308,"(none)","/predictive-analysis-in-ecommerce/","/","New Visitor",1,0,1,2,2,79
1407771502632,"(none)","/predictive-analysis-in-ecommerce/","/category/r/","New Visitor",1,0,1,2,2,76
1407795074775,"organic","/mongodb-basics-with-java/","/mongodb-basics-with-java/","New Visitor",1,0,1,1,1,0
1407799942244,"(none)","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407809200243,"(none)","/predictive-analysis-in-ecommerce/","/mongodb-introduction-part-2/","New Visitor",1,0,1,3,3,156
1407818456341,"(none)","/getting-started-with-mapreduce-using-eclipse-2/","/getting-started-with-mapreduce-using-eclipse-2/","New Visitor",1,0,1,1,1,0
1407818811464,"organic","/predictive-analysis-in-ecommerce/","/predictive-analysis-in-ecommerce/","New Visitor",1,0,1,1,1,0
1407832111385,"(none)","/predictive-analysis-in-ecommerce/","/introduction-mongodb/","New Visitor",1,0,1,8,4,70
1407833469329,"organic","/mongodb-basics-with-java/","/mongodb-basics-with-java/","New Visitor",1,0,1,1,1,0
1407834670831,"organic","/understanding-data-analytics-project-life-cycle/","/understanding-data-analytics-project-life-cycle/","New Visitor",1,0,1,1,1,0
1407836685010,"rss","/understanding-data-analytics-project-life-cycle/","/understanding-data-analytics-project-life-cycle/","New Visitor",1,0,1,5,3,1137
1407842928237,"(none)","/predictive-analysis-in-ecommerce/","/linear-regression-with-r-step-by-step-implementation-part-2/","New Visitor",1,0,1,4,3,114
